country,year,bovine_pop_1000
Germany,2022,10996.96
Germany,2023,10836.2
Germany,2024,10461.29
Germany,2025,10420.27
Denmark,2016,1554.0
Denmark,2017,1558.0
Denmark,2018,1530.0
Denmark,2019,1500.0
Denmark,2020,1500.0
Denmark,2021,1480.0
Denmark,2022,1466.0
Denmark,2023,1434.87
Denmark,2024,1413.86
Denmark,2025,1399.87
Estonia,2016,248.2
Estonia,2017,250.9
Estonia,2018,251.9
Estonia,2019,254.0
Estonia,2020,253.3
Estonia,2021,250.8
Estonia,2022,249.62
Estonia,2023,241.36
Estonia,2024,232.39
Estonia,2025,234.12
Greece,2016,554.0
Greece,2017,556.0
Greece,2018,542.0
Greece,2019,530.0
Greece,2020,631.5
Greece,2021,614.1
Greece,2022,581.6
Greece,2023,638.8
Greece,2024,595.2
Greece,2025,567.0
Spain,2016,6317.64
Spain,2017,6465.75
Spain,2018,6510.59
Spain,2019,6600.33
Spain,2020,6636.43
Spain,2021,6576.3
Spain,2022,6455.13
Spain,2023,6294.64
Spain,2024,6173.96
Spain,2025,6299.92
"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2025,71534.87
European Union - 15 countries (1995-2004),2016,75910.39
European Union - 15 countries (1995-2004),2017,75175.58
European Union - 15 countries (1995-2004),2018,73781.91
European Union - 15 countries (1995-2004),2019,72924.81
European Union - 25 countries (2004-2006),2016,86439.7
European Union - 25 countries (2004-2006),2017,85781.91
European Union - 25 countries (2004-2006),2018,84516.78
European Union - 25 countries (2004-2006),2019,83749.66
European Union - 27 countries (2007-2013),2016,89059.54
European Union - 27 countries (2007-2013),2017,88345.94
European Union - 27 countries (2007-2013),2018,87036.1
European Union - 27 countries (2007-2013),2019,86200.16
European Union - 27 countries (from 2020),2016,79697.54
European Union - 27 countries (from 2020),2017,79009.94
European Union - 27 countries (from 2020),2018,77840.1
European Union - 27 countries (from 2020),2019,77161.16
European Union - 27 countries (from 2020),2020,76551.1
European Union - 27 countries (from 2020),2021,75705.3
European Union - 27 countries (from 2020),2022,74807.63
European Union - 27 countries (from 2020),2023,73761.43
European Union - 27 countries (from 2020),2024,71896.32
European Union - 27 countries (from 2020),2025,71534.87
European Union - 28 countries (2013-2020),2016,89503.54
European Union - 28 countries (2013-2020),2017,88796.94
European Union - 28 countries (2013-2020),2018,87450.1
European Union - 28 countries (2013-2020),2019,86620.16
Finland,2016,887.25
Finland,2017,874.52
Finland,2018,859.38
Finland,2019,840.74
Finland,2020,835.38
Finland,2021,829.98
Finland,2022,821.97
Finland,2023,798.64
Finland,2024,764.03
Finland,2025,752.13
France,2016,19373.38
France,2017,18953.58
France,2018,18613.04
France,2019,18172.97
France,2020,17815.67
France,2021,17330.08
France,2022,16986.19
France,2023,16806.9
France,2024,16478.26
France,2025,16232.0
Croatia,2016,444.0
Croatia,2017,451.0
Croatia,2018,414.0
Croatia,2019,420.0
Croatia,2020,423.0
Croatia,2021,428.0
Croatia,2022,422.0
Croatia,2023,415.0
Croatia,2024,422.0
Croatia,2025,418.0
Hungary,2016,852.0
Hungary,2017,870.0
Hungary,2018,885.0
Hungary,2019,909.0
Hungary,2020,932.9
Hungary,2021,909.9
Hungary,2022,894.0
Hungary,2023,869.7
Hungary,2024,869.9
Hungary,2025,882.9
