Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","372","Ireland","5610","Import quantity","22241.01","Butter of cow milk","1996","1996","t","3562","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","372","Ireland","5622","Import value","22241.01","Butter of cow milk","1996","1996","1000 USD","10776","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export quantity","22241.01","Butter of cow milk","1996","1996","t","118710","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export value","22241.01","Butter of cow milk","1996","1996","1000 USD","437654","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5610","Import quantity","22241.01","Butter of cow milk","1997","1997","t","2480","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5622","Import value","22241.01","Butter of cow milk","1997","1997","1000 USD","7490","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export quantity","22241.01","Butter of cow milk","1997","1997","t","138577","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export value","22241.01","Butter of cow milk","1997","1997","1000 USD","479593","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5610","Import quantity","22241.01","Butter of cow milk","1998","1998","t","3967","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5622","Import value","22241.01","Butter of cow milk","1998","1998","1000 USD","11357","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export quantity","22241.01","Butter of cow milk","1998","1998","t","135412","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export value","22241.01","Butter of cow milk","1998","1998","1000 USD","481440","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5610","Import quantity","22241.01","Butter of cow milk","1999","1999","t","4713","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5622","Import value","22241.01","Butter of cow milk","1999","1999","1000 USD","14209","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export quantity","22241.01","Butter of cow milk","1999","1999","t","126409","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5922","Export value","22241.01","Butter of cow milk","1999","1999","1000 USD","385333","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5610","Import quantity","22241.01","Butter of cow milk","2000","2000","t","4472","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5622","Import value","22241.01","Butter of cow milk","2000","2000","1000 USD","12088","A","Official figure",""
"TCL","Crops and livestock products","372","Ireland","5910","Export quantity","22241.01","Butter of cow milk","2000","2000","t","118761","A","Official figure",""
