Indicator Type,Indicator Category,Indicator Name,Sub-indicator Name,Sub-indicator Parameter,Sub-indicator Unit,Indicator Code,Member State Code,Member State Name,Time Period,Data,Flag
Output_Pillar I,Direct payments,OID_00 Direct payments (DP),Expenditure direct payments,Total,euro,OID_00_4,FR,France,2014,7602698489,
Output_Pillar I,Direct payments,OID_00 Direct payments (DP),Expenditure direct payments,Total,euro,OID_00_4,MT,Malta,2019,5117419,
Output_Pillar I,Direct payments,OID_00 Direct payments (DP),Expenditure direct payments,Total,euro,OID_00_4,MT,Malta,2016,5042676,
Output_Pillar I,Direct payments,OID_00 Direct payments (DP),Expenditure direct payments,Total,euro,OID_00_4,IE,Ireland,2016,1208265278,
Output_Pillar I,Direct payments,OID_00 Direct payments (DP),Expenditure direct payments,Total,euro,OID_00_4,NL,Netherlands,2020,651306999,
Output_Pillar I,Direct payments,OID_00 Direct payments (DP),Expenditure direct payments,Total,euro,OID_00_4,LV,Latvia,2017,228118525,
Output_Pillar I,Direct payments,OID_00 Direct payments (DP),Expenditure direct payments,Total,euro,OID_00_4,HU,Hungary,2014,1282860031,
Output_Pillar I,Direct payments,OID_00 Direct payments (DP),Expenditure direct payments,Total,euro,OID_00_4,FR,France,2015,7093197137,
Output_Pillar I,Direct payments,OID_00 Direct payments (DP),Expenditure direct payments,Total,euro,OID_00_4,MT,Malta,2020,5054043,
Output_Pillar I,Direct payments,OID_00 Direct payments (DP),Expenditure direct payments,Total,euro,OID_00_4,NL,Netherlands,2016,734734015,
Output_Pillar I,Direct payments,OID_00 Direct payments (DP),Expenditure direct payments,Total,euro,OID_00_4,SE,Sweden,2015,666608665,
Output_Pillar I,Direct payments,OID_00 Direct payments (DP),Expenditure direct payments,Total,euro,OID_00_4,NL,Netherlands,2019,666189888,
Output_Pillar I,Direct payments,OID_00 Direct payments (DP),Expenditure direct payments,Total,euro,OID_00_4,MT,Malta,2022,5021610,
Output_Pillar I,Direct payments,OID_00 Direct payments (DP),Expenditure direct payments,Total,euro,OID_00_4,NL,Netherlands,2018,679511638,
Output_Pillar I,Direct payments,OID_00 Direct payments (DP),Expenditure direct payments,Total,euro,OID_00_4,MT,Malta,2021,5037107,
