DATAFLOW,LAST UPDATE,freq,animals,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ORG_LSTSPEC$DEFAULTVIEW(1.0),19/02/26 23:00:00,Annual,Live bovine animals,Head (animal),Bulgaria,2023,9411,,
ESTAT:ORG_LSTSPEC$DEFAULTVIEW(1.0),19/02/26 23:00:00,Annual,Live bovine animals,Head (animal),Bulgaria,2024,13909,,
ESTAT:ORG_LSTSPEC$DEFAULTVIEW(1.0),19/02/26 23:00:00,Annual,Live bovine animals,Head (animal),Switzerland,2015,170420,,
ESTAT:ORG_LSTSPEC$DEFAULTVIEW(1.0),19/02/26 23:00:00,Annual,Live bovine animals,Head (animal),Switzerland,2016,175520,,
ESTAT:ORG_LSTSPEC$DEFAULTVIEW(1.0),19/02/26 23:00:00,Annual,Live bovine animals,Head (animal),Switzerland,2017,187745,,
ESTAT:ORG_LSTSPEC$DEFAULTVIEW(1.0),19/02/26 23:00:00,Annual,Live bovine animals,Head (animal),Switzerland,2018,200450,,
ESTAT:ORG_LSTSPEC$DEFAULTVIEW(1.0),19/02/26 23:00:00,Annual,Live bovine animals,Head (animal),Switzerland,2019,205389,,
ESTAT:ORG_LSTSPEC$DEFAULTVIEW(1.0),19/02/26 23:00:00,Annual,Live bovine animals,Head (animal),Switzerland,2020,211041,,
ESTAT:ORG_LSTSPEC$DEFAULTVIEW(1.0),19/02/26 23:00:00,Annual,Live bovine animals,Head (animal),Switzerland,2021,213595,,
ESTAT:ORG_LSTSPEC$DEFAULTVIEW(1.0),19/02/26 23:00:00,Annual,Live bovine animals,Head (animal),Switzerland,2022,219304,,
ESTAT:ORG_LSTSPEC$DEFAULTVIEW(1.0),19/02/26 23:00:00,Annual,Live bovine animals,Head (animal),Switzerland,2023,221450,,
